date,open,high,low,close,volume
2024-10-08,19236.49,19237.41,19180.65,19202.98,143373
2024-10-09,19202.98,19213.01,19120.42,19141.59,157320
2024-10-10,19141.59,19195.62,19125.18,19159.8,140460
2024-10-11,19159.8,19167.17,19152.76,19154.06,103134
2024-10-14,19154.06,19185.87,19130.13,19162.99,102356
2024-10-15,19162.99,19211.06,19134.25,19207.54,158169
2024-10-16,19207.54,19234.64,19104.38,19123.33,127029
2024-10-17,19123.33,19127.81,19062.42,19066.84,119643
2024-10-18,19066.84,19078.8,18980.16,19044.91,165079
2024-10-21,19044.91,19077.52,18972.56,19001.32,102612
2024-10-22,19001.32,19087.5,18985.41,19047.87,167920
2024-10-23,19047.87,19089.26,19021.66,19026.36,144170
2024-10-24,19026.36,19092.4,18950.47,19077.69,100623
2024-10-25,19077.69,19104.35,19041.63,19070.5,174655
2024-10-28,19070.5,19117.91,19051.87,19098.48,89109
2024-10-29,19098.48,19182.42,19091.95,19169.71,178005
2024-10-30,19169.71,19222.47,19129.12,19198.09,128584
2024-10-31,19198.09,19210.64,19174.16,19201.75,119740
2024-11-01,19201.75,19257.78,19184.46,19202.65,176116
2024-11-04,19202.65,19221.84,19152.16,19197.26,153199
2024-11-05,19197.26,19270.01,19182.51,19248.14,177126
2024-11-06,19248.14,19275.59,19193.53,19210.41,125842
2024-11-07,19210.41,19258.71,19199.07,19206.8,178073
2024-11-08,19206.8,19208.74,19141.23,19170.64,132866
2024-11-11,19170.64,19206.32,19134.36,19205.36,143927
2024-11-12,19205.36,19237.28,19177.69,19193.91,104407
2024-11-13,19193.91,19260.62,19139.78,19250.26,151335
2024-11-14,19250.26,19293.88,19212.01,19230.23,132576
2024-11-15,19230.23,19256.58,19170.23,19187.74,106922
2024-11-18,19187.74,19227.91,19102.73,19140.16,103209
2024-11-19,19140.16,19157.26,19085.22,19115.88,164348
2024-11-20,19115.88,19126.68,19101.62,19113.22,197786
2024-11-21,19113.22,19135.73,19048.56,19123.84,130387
2024-11-22,19123.84,19134.5,19016.98,19026.31,129771
2024-11-25,19026.31,19075.7,19011.91,19050.13,103391
2024-11-26,19050.13,19060.62,19025.75,19039.15,146182
2024-11-27,19039.15,19137.9,19027.88,19127.54,67214
2024-11-28,19127.54,19217.77,19098.14,19208.55,189627
2024-11-29,19208.55,19268.55,19172.68,19265.84,162569
2024-12-02,19265.84,19295.11,19213.76,19239.85,86022
2024-12-03,19239.85,19279.09,19188.57,19267.61,159755
2024-12-04,19267.61,19288.51,19175.85,19177.47,160666
2024-12-05,19177.47,19273.33,19169.22,19224.34,179095
2024-12-06,19224.34,19343.31,19214.59,19296.78,182928
2024-12-09,19296.78,19406.94,19278.69,19376.99,174833
2024-12-10,19376.99,19413.17,19320.25,19344.82,139587
2024-12-11,19344.82,19361.59,19335.0,19347.12,156982
2024-12-12,19347.12,19348.84,19298.73,19304.88,147679
2024-12-13,19304.88,19324.54,19228.49,19275.31,131962
2024-12-16,19275.31,19357.12,19208.97,19334.89,127164
2024-12-17,19334.89,19354.43,19305.71,19310.43,164231
2024-12-18,19310.43,19365.79,19291.76,19343.32,113313
2024-12-19,19343.32,19346.29,19335.72,19340.0,128180
2024-12-20,19340.0,19408.14,19301.34,19385.21,171339
2024-12-23,19385.21,19414.84,19369.97,19398.03,130445
2024-12-24,19398.03,19503.53,19348.61,19460.56,151056
2024-12-25,19460.56,19490.09,19460.5,19479.69,168578
2024-12-26,19479.69,19484.53,19434.79,19478.76,154941
2024-12-27,19478.76,19508.35,19475.01,19486.3,158748
2024-12-30,19486.3,19518.44,19485.53,19487.93,115893
2024-12-31,19487.93,19531.36,19465.01,19501.83,172477
2025-01-01,19501.83,19521.33,19491.42,19518.82,91050
2025-01-02,19518.82,19522.54,19465.14,19473.77,147618
2025-01-03,19473.77,19477.1,19421.42,19432.77,117942
2025-01-06,19432.77,19456.94,19402.86,19451.69,169965
2025-01-07,19451.69,19496.77,19430.56,19488.73,121931
2025-01-08,19488.73,19560.7,19399.38,19426.36,143705
2025-01-09,19426.36,19433.39,19399.23,19413.83,93949
2025-01-10,19413.83,19448.6,19369.27,19372.44,129474
2025-01-13,19372.44,19377.84,19330.3,19344.87,177962
2025-01-14,19344.87,19350.49,19297.52,19330.65,169706
2025-01-15,19330.65,19340.87,19307.14,19315.39,144796
2025-01-16,19315.39,19337.57,19281.74,19327.94,178028
2025-01-17,19327.94,19381.7,19300.45,19352.2,130084
2025-01-20,19352.2,19363.4,19321.09,19343.5,185312
2025-01-21,19343.5,19396.08,19331.62,19345.76,72444
2025-01-22,19345.76,19359.49,19298.53,19313.79,140242
2025-01-23,19313.79,19328.64,19260.12,19297.68,186447
2025-01-24,19297.68,19329.03,19207.14,19247.68,125561
2025-01-27,19247.68,19373.43,19233.31,19317.44,112395
2025-01-28,19317.44,19321.95,19269.41,19311.84,125681
2025-01-29,19311.84,19327.52,19303.07,19309.37,125337
2025-01-30,19309.37,19311.71,19284.98,19307.08,121708
2025-01-31,19307.08,19315.16,19282.82,19287.0,144441
2025-02-03,19287.0,19304.4,19266.12,19286.11,163221
2025-02-04,19286.11,19315.25,19231.04,19236.47,111703
2025-02-05,19236.47,19252.78,19217.41,19248.6,184765
2025-02-06,19248.6,19266.29,19216.11,19231.26,120567
2025-02-07,19231.26,19238.37,19196.21,19196.59,135259
2025-02-10,19196.59,19205.29,19149.52,19162.06,118795
2025-02-11,19162.06,19168.68,19126.96,19153.72,174815
2025-02-12,19153.72,19191.08,19150.44,19190.05,165819
2025-02-13,19190.05,19212.34,19145.33,19186.73,152414
2025-02-14,19186.73,19226.25,19178.28,19204.42,116150
2025-02-17,19204.42,19282.1,19159.7,19242.88,176113
2025-02-18,19242.88,19250.13,19199.1,19248.86,121613
2025-02-19,19248.86,19263.81,19187.48,19194.02,119805
2025-02-20,19194.02,19201.57,19173.68,19198.18,198091
2025-02-21,19198.18,19230.09,19123.23,19132.63,143775
